latitude,longitude,DepthInMeters,ObservationDate
29.284,-88.27,84,3/24/1958
29.2,-88.05,503,7/25/1962
29.234,-87.0,878,8/6/1968
29.102,-88.39,330,2002
28.025,-89.73,710,2002
27.893,-90.12,635,1984
27.733,-91.05,695,2002
27.744,-91.13,137,9/5/1989
26.5,-96.43,91,2/5/1939
27.917,-93.45,100,9/1/1976
27.736,-91.12,183,9/6/1989
27.844,-91.38,274,9/7/1989
27.805,-91.56,258,9/8/1989
29.084,-88.38,467,3/13/1955
29.084,-88.38,467,3/13/1955
26.35,-84.77,500,1985
27.05,-84.96,500,1985
27.233,-84.75,240,1985
26.35,-84.77,500,1985
26.35,-84.77,500,1985
29.184,-85.68,70,3/22/2005
29.184,-85.68,71,3/22/2005
29.184,-85.68,72,3/22/2005
29.184,-85.68,71,3/22/2005
29.184,-85.68,69,3/22/2005
29.185,-85.68,69,3/22/2005
29.184,-85.68,70,3/22/2005
29.184,-85.68,72,3/22/2005
29.172,-85.7,72,3/23/2005
29.174,-85.7,78,3/23/2005
29.173,-85.7,76,3/23/2005
29.173,-85.7,72,3/23/2005
29.165,-85.72,75,3/23/2005
29.163,-85.75,84,3/23/2005
29.163,-85.75,84,3/23/2005
29.163,-85.75,84,3/23/2005
29.163,-85.75,84,3/23/2005
29.163,-85.75,84,3/23/2005
29.163,-85.75,83,3/23/2005
25.55,-84.35,185,1878
28.517,-85.88,218,1878
25.55,-84.35,185,1878
28.517,-85.88,218,1878
28.517,-85.88,218,1878
25.55,-84.35,185,1878
25.717,-84.79,1624,1878
28.517,-85.88,218,1878
28.517,-85.88,218,1878
28.517,-85.88,218,1878
25.55,-84.35,185,1878
25.55,-84.58,986,1878
25.55,-84.58,986,1878
27.752,-92.49,552,6/9/1985
27.784,-91.73,423,6/10/1985
27.706,-91.55,663,6/10/1985
27.934,-91.83,155,11/26/1966
28.068,-90.26,358,11/2/1984
26.5,-84.83,640,11/12/1983
29.234,-87.0,878,8/6/1968
29.167,-88.33,519,8/21/1990
29.107,-88.38,343,9/23/2003
28.067,-89.72,623,9/30/2003
28.028,-89.73,650,10/8/2002
27.894,-90.12,635,11/12/1984
27.733,-91.05,720,5/5/2002
29.107,-88.38,307,7/1/2004
27.744,-91.13,137,9/5/1989
28.067,-89.72,623,9/30/2003
25.55,-84.35,185,1877-01-01
25.55,-84.35,185,1878
28.004,-87.7,2683,1885-03-02
28.75,-88.26,1719,1885-03-03
28.75,-88.26,1719,1885-03-03
29.25,-88.1,110,1885-03-04
29.4,-88.07,59,1885-03-04
29.4,-88.07,59,1885-03-04
29.4,-88.02,64,1885-03-04
29.408,-88.02,64,1885-03-04
29.467,-87.93,49,1885-03-04
28.792,-87.45,1324,1885-03-13
28.717,-87.24,960,1885-03-13
28.642,-87.03,768,1885-03-13
28.642,-87.03,768,1885-03-13
28.733,-86.3,358,1885-03-14
28.75,-85.03,55,1885-03-15
29.467,-87.93,49,1885-03-04
29.458,-87.81,55,1885-03-04
28.004,-87.7,2683,1885-03-02
29.408,-88.02,64,1885-03-04
29.4,-88.07,59,1885-03-04
29.4,-88.02,64,1885-03-04
29.408,-88.02,64,1885-03-04
28.567,-86.8,613,1885-03-13
28.642,-87.03,768,1885-03-13
25.883,-84.35,185,1878
25.883,-84.35,185,1878
28.642,-87.03,768,1885-03-13
28.642,-87.03,768,1885-03-13
28.792,-87.45,1324,1885-03-13
28.75,-85.03,55,1885-03-15
27.307,-84.3,102,12/11/1951
28.187,-84.87,123,12/6/1951
27.73,-85.03,393,9/29/1951
27.73,-85.15,465,9/27/1951
27.617,-84.35,91,8/4/1965
27.617,-84.35,91,8/4/1965
27.617,-84.35,91,8/4/1965
27.617,-84.35,91,8/4/1965
27.93,-84.8,192,8/25/1977
28.92,-87.38,1463,1/15/1970
29.18,-87.15,896,2/5/1970
28.57,-87.43,1646,1/16/1970
28.12,-85.93,732,9/10/1968
28.7,-87.3,1207,1/15/1970
29.12,-88.08,732,4/27/1961
27.57,-92.17,914,2/24/1964
29.25,-85.52,65,7/14/1957
29.25,-85.52,65,7/14/1957
27.07,-84.23,121,6/28/1976
27.887,-93.4,99,4/21/1966
28.88,-87.97,1628,5/26/1955
28.88,-87.78,1829,7/13/1960
27.1,-89.22,2104,7/29/1959
28.57,-87.43,1646,1/16/1970
28.82,-88.05,1692,7/28/1962
28.7,-87.3,1207,1/15/1970
28.97,-88.18,1143,6/26/1958
29.18,-87.95,1326,7/27/1962
28.82,-88.42,1120,7/29/1962
28.38,-88.36,1829,7/15/1960
29.4,-88.07,59,1885-03-04
28.45,-92.23,53,11/13/1938
29.03,-88.58,357,9/23/1950
29.4,-88.07,59,1885-03-04
29.4,-88.07,59,1885-03-04
29.4,-88.07,59,1885-03-04
29.4,-88.07,59,1885-03-04
29.4,-88.07,59,1885-03-04
29.4,-88.07,59,1885-03-04
29.408,-88.02,64,1885-03-04
29.408,-88.02,64,1885-03-04
29.408,-88.02,64,1885-03-04
29.467,-87.93,49,1885-03-04
29.458,-87.81,55,1885-03-04
27.73,-85.15,465,9/27/1951
26.975,-96.11,641,4/18/1952
28.103,-94.74,55,4/15/1952
27.023,-96.28,439,4/18/1952
27.023,-96.28,439,4/18/1952
28.917,-85.12,53,3/7/1954
28.917,-85.12,53,3/7/1954
28.92,-85.12,53,3/7/1954
27.057,-96.28,384,6/4/1954
29.467,-87.93,49,1885-03-04
28.642,-87.03,768,1885-03-13
29.1,-88.32,476,3/13/1955
29.558,-86.22,110,7/12/1952
29.515,-86.18,101,7/12/1952
29.1,-88.32,476,3/13/1955
29.515,-86.18,101,7/12/1952
29.515,-86.18,101,7/12/1952
29.515,-86.18,101,7/12/1952
29.515,-86.18,101,7/12/1952
29.258,-87.88,320,4/27/1951
29.68,-87.18,183,6/21/1956
28.28,-89.92,183,9/23/1955
29.683,-87.18,183,6/21/1956
