decimallongitude,decimallatitude,date_year,scientificname,depth
146.86223,-19.15688,2004.0,Montipora foliosa,2.0
145.69226,-16.7293,2004.0,Montipora foliosa,5.0
148.81218,-20.25342,2004.0,Montipora foliosa,2.0
146.43265,-18.8107,2004.0,Montipora foliosa,5.0
145.49689,-16.2924,2004.0,Montipora foliosa,5.0
149.38855,-20.91122,2004.0,Montipora foliosa,2.0
149.42131,-20.92735,2004.0,Montipora foliosa,2.0
149.39082,-20.91182,2004.0,Montipora foliosa,5.0
148.49724,-20.08018,2004.0,Montipora foliosa,2.0
148.51385,-20.08112,2004.0,Montipora foliosa,2.0
145.50697,-16.30183,2004.0,Montipora foliosa,5.0
146.09157,-17.21947,2004.0,Montipora foliosa,5.0
146.0768,-17.20405,2004.0,Montipora foliosa,2.0
145.52596,-16.51325,2004.0,Montipora foliosa,5.0
145.52571,-16.51348,2004.0,Montipora foliosa,2.0
148.80322,-20.30173,2004.0,Montipora foliosa,5.0
149.42363,-20.92591,2004.0,Montipora foliosa,2.0
149.42363,-20.92591,2004.0,Montipora foliosa,5.0
146.84877,-19.1713,2004.0,Montipora foliosa,2.0
149.44308,-20.90373,2004.0,Montipora foliosa,5.0
146.81058,-19.19468,2004.0,Montipora foliosa,2.0
145.68954,-16.72698,2004.0,Montipora foliosa,2.0
145.49689,-16.2924,2004.0,Montipora foliosa,2.0
148.51385,-20.08112,2004.0,Montipora foliosa,5.0
148.606,-20.133,1995.0,Montipora foliosa,3.0
145.47,-15.736,1995.0,Montipora foliosa,5.0
149.04033,-20.23566,1995.0,Montipora foliosa,3.0
148.60867,-20.102,1995.0,Montipora foliosa,3.0
145.31667,-15.13333,1995.0,Montipora foliosa,5.0
148.48784,-20.07733,1994.0,Montipora foliosa,2.0
146.57784,-17.569,1996.0,Montipora foliosa,9.0
148.62433,-20.01533,1995.0,Montipora foliosa,3.0
146.563,-17.57966,1996.0,Montipora foliosa,3.0
145.56334,-16.3875,1995.0,Montipora foliosa,3.0
148.36034,-19.98783,1995.0,Montipora foliosa,3.0
146.563,-17.57966,1996.0,Montipora foliosa,12.0
146.4225,-17.70683,1996.0,Montipora foliosa,3.0
145.76216,-16.12717,1995.0,Montipora foliosa,7.0
148.554,-19.99567,1995.0,Montipora foliosa,3.0
146.38783,-17.7095,1996.0,Montipora foliosa,3.0
146.29184,-18.14917,1997.0,Montipora foliosa,6.0
146.2825,-18.1485,1997.0,Montipora foliosa,6.0
148.50833,-20.07817,1995.0,Montipora foliosa,3.0
149.0745,-20.16133,1995.0,Montipora foliosa,3.0
148.57133,-20.09566,1994.0,Montipora foliosa,4.0
148.88733,-20.16566,1995.0,Montipora foliosa,3.0
148.71317,-20.11266,1995.0,Montipora foliosa,3.0
145.44983,-15.64983,1995.0,Montipora foliosa,5.0
145.44583,-15.643,1995.0,Montipora foliosa,6.0
149.10567,-20.266,1995.0,Montipora foliosa,8.0
145.38333,-15.7,1995.0,Montipora foliosa,7.0
145.40134,-15.716,1995.0,Montipora foliosa,3.0
145.40134,-15.716,1995.0,Montipora foliosa,7.0
146.07384,-17.20666,1995.0,Montipora foliosa,6.0
145.36333,-15.71733,1995.0,Montipora foliosa,2.0
145.36583,-15.72333,1995.0,Montipora foliosa,2.0
145.36617,-15.72966,1995.0,Montipora foliosa,4.0
148.90567,-20.1455,1995.0,Montipora foliosa,8.0
146.00766,-17.15183,1996.0,Montipora foliosa,5.0
146.00766,-17.15183,1996.0,Montipora foliosa,10.0
146.01466,-17.15366,1996.0,Montipora foliosa,8.0
148.95134,-20.30833,1995.0,Montipora foliosa,3.0
146.09483,-17.22533,1996.0,Montipora foliosa,3.0
146.09483,-17.22533,1996.0,Montipora foliosa,12.0
146.07883,-17.2035,1996.0,Montipora foliosa,4.0
148.481,-20.06567,1994.0,Montipora foliosa,2.0
145.46783,-15.73866,1995.0,Montipora foliosa,0.0
120.77025,21.95188,2011.0,Montipora foliosa,0.0
120.77025,21.95188,2014.0,Montipora foliosa,0.0
120.71516,21.97253,2011.0,Montipora foliosa,0.0
120.74481,21.93011,2010.0,Montipora foliosa,0.0
120.74481,21.93011,2003.0,Montipora foliosa,0.0
120.74481,21.93011,2005.0,Montipora foliosa,0.0
120.74481,21.93011,2008.0,Montipora foliosa,0.0
120.74481,21.93011,2010.0,Montipora foliosa,0.0
120.74481,21.93011,2011.0,Montipora foliosa,0.0
120.76971,21.95242,2011.0,Montipora foliosa,0.0
120.76897,21.95321,2011.0,Montipora foliosa,0.0
120.82933,21.92355,2005.0,Montipora foliosa,0.0
120.76897,21.95321,2014.0,Montipora foliosa,0.0
120.82933,21.92355,2003.0,Montipora foliosa,0.0
120.82933,21.92355,2004.0,Montipora foliosa,0.0
120.82933,21.92355,2008.0,Montipora foliosa,0.0
120.82933,21.92355,2009.0,Montipora foliosa,0.0
120.82933,21.92355,2010.0,Montipora foliosa,0.0
120.82933,21.92355,2011.0,Montipora foliosa,0.0
120.82933,21.92355,2014.0,Montipora foliosa,0.0
120.7036,21.99502,2011.0,Montipora foliosa,0.0
144.655,13.4496667,2003.0,Montipora foliosa,
93.1527,10.6165,1982.0,Montipora foliosa,
92.9899,12.6751,1965.0,Montipora foliosa,
92.9899,12.6751,1965.0,Montipora foliosa,
68.96666667,22.21666667,2008.0,Montipora foliosa,
70.11666667,21.11666667,2008.0,Montipora foliosa,
69.6,21.58333333,2008.0,Montipora foliosa,
70.76666667,20.68333333,2008.0,Montipora foliosa,
144.655,13.4496667,2003.0,Montipora foliosa,
57.72,-19.93,1987.0,Montipora foliosa,
40.81,-5.35,1987.0,Montipora foliosa,
36.7,-20.65,1987.0,Montipora foliosa,
43.54,-23.42,1987.0,Montipora foliosa,
79.5,7.71,1987.0,Montipora foliosa,
72.62,0.071,1987.0,Montipora foliosa,
55.18,-21.16,1987.0,Montipora foliosa,
57.72,-19.93,1987.0,Montipora foliosa,
63.43,-19.75,1987.0,Montipora foliosa,
96.87,-12.159,1987.0,Montipora foliosa,
93.36,8.11,1987.0,Montipora foliosa,
55.34,-4.53,1987.0,Montipora foliosa,
72.62,0.071,1987.0,Montipora foliosa,
72.62,0.071,1987.0,Montipora foliosa,
57.72,-19.93,1987.0,Montipora foliosa,
40.81,-5.35,1987.0,Montipora foliosa,
36.7,-20.65,1987.0,Montipora foliosa,
43.54,-23.42,1987.0,Montipora foliosa,
79.5,7.71,1987.0,Montipora foliosa,
72.62,0.071,1987.0,Montipora foliosa,
55.18,-21.16,1987.0,Montipora foliosa,
57.72,-19.93,1987.0,Montipora foliosa,
63.43,-19.75,1987.0,Montipora foliosa,
96.87,-12.159,1987.0,Montipora foliosa,
