EventID,Locality,Station,LatitudeInDD,LongitudeInDD,DepthInMeters,Temperature,Salinity,Oxygen,ObservationDate,ObservationTime,ImageFilePath,ScientificName,AphiaID,VernacularName,IdentificationComment,IndividualCount,Density (species/m²),PercentCover,Size,Condition,AssociatedTaxa,Habitat,Substrate
Dive 504048,Sonnier Bank,S1-T2,28.341067166666665,-92.45114678,36.85,,,,22/9/2017,9:43:22,,.,,,,0,0,,,,,Soft Bottom,Sand/Silt
Dive 504049,Sonnier Bank,S1-T2,28.341018766666668,-92.45113723,36.540000000000006,,,,22/9/2017,9:43:43,,.,,,,0,0,,,,,Soft Bottom,Sand/Silt
Dive 504050,Sonnier Bank,S1-T2,28.340983083333334,-92.45115137,35.839999999999996,,,,22/9/2017,9:44:02,,.,,,,0,0,,,,,Soft Bottom,Sand/Silt
Dive 504051,Sonnier Bank,S1-T2,28.3409449,-92.45115495,34.11,,,,22/9/2017,9:44:17,,Millepora alcicornis,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 504052,Sonnier Bank,S1-T2,28.34092516666667,-92.45116852,33.64,,,,22/9/2017,9:44:30,,Millepora alcicornis,,,,7,2.692307692307692,,,,,Coral Community,Coral Community
Dive 504053,Sonnier Bank,S1-T2,28.340906116666666,-92.45117582,33.25,,,,22/9/2017,9:44:43,,Millepora alcicornis,,,,3,1.1538461538461537,,,,,Coral Community,Coral Community
Dive 504054,Sonnier Bank,S1-T2,28.3408074,-92.45119205,29.459999999999997,,,,22/9/2017,9:45:59,,Tubastrea sp.,,Colonial Cup Coral,,3,1.1538461538461537,,,,,Coral Community,Coral Community
Dive 504055,Sonnier Bank,S1-T2,28.340859516666665,-92.45119017,32.49,,,,22/9/2017,9:45:15,,Millepora alcicornis,,,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 504056,Sonnier Bank,S1-T2,28.340845366666667,-92.45118793,31.68,,,,22/9/2017,9:45:27,,.,,,,0,0,,,,,Coral Community,Coral Community
Dive 504057,Sonnier Bank,S1-T2,28.340838183333332,-92.4511859,30.84,,,,22/9/2017,9:45:36,,Millepora alcicornis,,,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 504058,Sonnier Bank,S1-T2,28.34081435,-92.45119883,29.990000000000002,,,,22/9/2017,9:45:51,,Millepora alcicornis,,,,9,3.4615384615384612,,,,,Coral Community,Coral Community
