Cruise,Vessel,Dive,Location,Photo Name,Latitude,Longitude,Depth (m),Bathy Depth (m),Local Relief in 10m (m),Log Local Relief,Backscatter (dB),Biological Zone,Major Habitat,Biology,Geomorphological Descriptor,Transitional,"Hard, Soft, Rubble",Level 1: Ecological Region,Level 2: Regime,Level 3: System,Level 4: Geoform/Hydroform,Level 5: Zone,Level 5: Subzone,Level 6: Macrohabitat,Level 7: Habitat,Level 8: Biotope,Human Impact,Duplicate,Comments,A1,A2,A3 (Antipathes sp.),A4,A5 (Stichopathes sp.),A6,A7 (Antipathes),A8,A9,A10,A11,A12,A13 (Stichopathes sp.),A14,A15,Acanthopathes thyoides,Antipathes atlantica,Antipathes furcata,Antipathes gracilis,Antipathes sp.,DFH8-30A Antipathes sp. cf. gracilis,Antipathes sp.- Humann 185,Aphanipathes pedata,Elatopathes abietina- green,Elatopathes abietina- green branching,Elatopathes abietina- white,Elatopathes abietina- white branching,Elatopathes sp.,Phanopathes expansa,Plumapathes pennacea,Stichopathes sp.,DFH11-19A Stichopathes sp.,DFH11-19B Stichopathes sp.,Tanacetipathes sp.,unid Antipatharian
DFH4,Spree,Dive 1,EFGB,Dive 1001 09 43 06.JPG,27.909676166666667,-93.58373433333334,63.0936,-66.21408081,2.12220764,0.3267878736720873,-98.76119995,Coralline Algae,Algal Nodules,Antipatharian,Algal Nodules,,Hard Bottom,Region 13,Marine,Neritic System,Bank,Bottom,Upper Slope,Unconsolidated Sediments,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFH4,Spree,Dive 1,EFGB,Dive 1002 09 43 44.JPG,27.9107,-93.58478333333333,64.008,-56.57946014,0.17114258,-0.7666419252430821,-96.37535858,Coralline Algae,Algal Nodules,Antipatharian,Algal Nodules,,Hard Bottom,Region 13,Marine,Neritic System,Bank,Bottom,Upper Slope,Unconsolidated Sediments,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFH4,Spree,Dive 1,EFGB,Dive 1003 09 44 20.JPG,27.910633333333333,-93.58475,65.8368,-56.57231903,0.26298523,-0.5800686420411298,-93.58058167,Coralline Algae,Algal Nodules,Antipatharian,Algal Nodules,,Hard Bottom,Region 13,Marine,Neritic System,Bank,Bottom,Upper Slope,Unconsolidated Sediments,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
DFH4,Spree,Dive 1,EFGB,Dive 1004 09 45 44.JPG,27.910463016666668,-93.58420336666667,67.9704,-58.17973328,0.59861374,-0.22285331900652222,-95.86375427,Coralline Algae,Algal Nodules,Antipatharian,Algal Nodules,,Hard Bottom,Region 13,Marine,Neritic System,Bank,Bottom,Upper Slope,Unconsolidated Sediments,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFH4,Spree,Dive 1,EFGB,Dive 1005 09 45 54.JPG,27.91055,-93.58471666666667,,-56.70663071,0.30942917,-0.5094387476085568,-95.79410553,Coralline Algae,Algal Nodules,Antipatharian,Algal Nodules,,Hard Bottom,Region 13,Marine,Neritic System,Bank,Bottom,Upper Slope,Unconsolidated Sediments,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFH4,Spree,Dive 1,EFGB,Dive 1006 09 49 36.JPG,27.910283333333332,-93.5845,69.7992,-57.30636215,0.28824997,-0.5402307292330383,-95.50230408,Coralline Algae,Algal Nodules,Algal Pavement,Hard Bottom,,Hard Bottom,Region 13,Marine,Neritic System,Bank,Bottom,Upper Slope,Hardbottom,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFH4,Spree,Dive 1,EFGB,Dive 1007 09 53 12.JPG,27.909523516666667,-93.58340601666667,70.104,-70.49819946,0.05575562,-1.2537113504865325,-96.01000977,Brine Seep,Brine Seep,Bacterial Mat,Brine Seep,,Soft Bottom,Region 13,Marine,Neritic System,Bank,Bottom,Upper Slope,Cold Seep,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFH4,Spree,Dive 1,EFGB,Dive 1008 09 54 20.JPG,27.909423133333334,-93.5832479,71.628,-70.45452881,0.07433319,-1.1288172291011307,-93.61116028000001,Brine Seep,Brine Seep,Bacterial Mat,Brine Seep,,Soft Bottom,Region 13,Marine,Neritic System,Bank,Bottom,Upper Slope,Cold Seep,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFH4,Spree,Dive 1,EFGB,Dive 1009 09 54 38.JPG,27.90937645,-93.58322275,71.9328,-70.43816376,0.1967926,-0.7059912363903951,-96.0,Brine Seep,Brine Seep,Bacterial Mat,Brine Seep,,Soft Bottom,Region 13,Marine,Neritic System,Bank,Bottom,Upper Slope,Cold Seep,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFH4,Spree,Dive 1,EFGB,Dive 1010 09 55 40.JPG,27.909382833333332,-93.5832399,71.3232,-70.43816376,0.1967926,-0.7059912363903951,-96.0,Brine Seep,Brine Seep,Bacterial Mat,Brine Seep,,Soft Bottom,Region 13,Marine,Neritic System,Bank,Bottom,Upper Slope,Cold Seep,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFH4,Spree,Dive 1,EFGB,Dive 1011 09 56 02.JPG,27.90947485,-93.58312958333333,71.9328,-70.53911591,0.46136475,-0.33595559027721444,-89.85015869,Brine Seep,Brine Seep,Bacterial Mat,Brine Seep,,Soft Bottom,Region 13,Marine,Neritic System,Bank,Bottom,Upper Slope,Cold Seep,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFH4,Spree,Dive 1,EFGB,Dive 1012 09 56 16.JPG,27.909390266666666,-93.58327548333334,71.9328,-70.50923157,0.13317108,-0.8755900781693771,-93.61116028000001,Brine Seep,Brine Seep,Bacterial Mat,Brine Seep,,Soft Bottom,Region 13,Marine,Neritic System,Bank,Bottom,Upper Slope,Cold Seep,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFH4,Spree,Dive 1,EFGB,Dive 1013 09 56 42.JPG,27.909577083333332,-93.58306906666667,71.9328,-70.22571564,1.1055603,0.04358243505862032,-91.22566223,Brine Seep,Brine Seep,Hard Bottom Community,Patch Reef,,Hard Bottom,Region 13,Marine,Neritic System,Bank,Bottom,Upper Slope,Hardbottom,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFH4,Spree,Dive 1,EFGB,Dive 1014 09 57 08.JPG,27.909471983333333,-93.5830742,70.104,-70.50439453,0.42907715,-0.36746461269441366,-88.41893005,Coralline Algae,Reef,Stony Coral,Patch Reef,,Hard Bottom,Region 13,Marine,Neritic System,Bank,Bottom,Upper Slope,Hardbottom,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFH4,Spree,Dive 1,EFGB,Dive 1015 09 57 36.JPG,27.9094744,-93.58313773333333,71.9328,-70.53911591,0.46136475,-0.33595559027721444,-88.13513947,Brine Seep,Brine Seep,Bacterial Mat,Brine Seep,,Soft Bottom,Region 13,Marine,Neritic System,Bank,Bottom,Upper Slope,Cold Seep,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFH4,Spree,Dive 1,EFGB,Dive 1016 09 57 46.JPG,27.909438966666666,-93.58322986666667,71.9328,-70.45452881,0.07433319,-1.1288172291011307,-91.41951752,Brine Seep,Brine Seep,Bacterial Mat,Patch Reef,,Hard Bottom,Region 13,Marine,Neritic System,Bank,Bottom,Upper Slope,Hardbottom,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFH4,Spree,Dive 1,EFGB,Dive 1017 09 57 58.JPG,27.909467383333332,-93.58323673333334,71.628,-70.50514221,0.09466553,-1.0238081292961256,-91.2119751,Brine Seep,Brine Seep,Hardbottom Community,Patch Reef,,Hard Bottom,Region 13,Marine,Neritic System,Bank,Bottom,Upper Slope,Hardbottom,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
